,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
2603,2603,0.5388012216598386,0.5,0,359.0,678.0,0.0,913.0,1,0.5037055752118941
2604,2604,-0.46883622532750224,-0.5,1,496.0,621.0,1.0,3353.0,1,0.1500749416700166
2605,2605,-0.06301275564282616,-0.1,1,491.0,741.0,1.0,908.0,1,0.9623787733192517
2606,2606,0.9115062485191152,0.9,0,265.0,508.0,0.0,457.0,1,0.9945779990680939
2607,2607,-0.542507379629154,-0.5,1,308.0,868.0,1.0,854.0,1,0.8530529690116031
2608,2608,0.05175071719985347,0.1,0,484.0,539.0,1.0,1307.0,0,0.2385212189859262
2609,2609,0.946319291574641,0.9,0,257.0,682.0,0.0,741.0,1,0.2806808899793478
2610,2610,-0.707542610530709,-0.7,1,442.0,909.0,1.0,1219.0,1,0.26791983984603784
2611,2611,0.008327068067715215,0.0,0,345.0,834.0,1.0,3821.0,0,0.5294390141311119
2612,2612,-0.4403909304187055,-0.4,1,369.0,572.0,1.0,649.0,1,0.8710680725595572
2613,2613,0.06286775410892731,0.1,0,464.0,884.0,0.0,2092.0,1,0.5634009056157278
2614,2614,0.7445173131468528,0.7,0,439.0,500.0,0.0,351.0,1,0.6295013265047613
2615,2615,-0.6652008704791375,-0.7,1,415.0,731.0,1.0,484.0,1,0.8254341954588564
2616,2616,-0.6388598069840057,-0.6,1,490.0,673.0,1.0,887.0,1,0.6967492821235877
2617,2617,-0.6285389685093907,-0.6,1,286.0,648.0,1.0,496.0,1,0.9131950033573977
2618,2618,0.0897341789872359,0.1,0,250.0,836.0,1.0,3914.0,0,0.8753118757942336
2619,2619,0.6602906111623228,0.7,0,273.0,563.0,0.0,594.0,1,0.8145325641890466
2620,2620,0.7084653553514555,0.7,0,267.0,501.0,0.0,602.0,1,0.6857277302982836
2621,2621,0.6458588924616562,0.6,0,439.0,868.0,0.0,1843.0,1,0.38389104574796096
