,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
1244,1244,-0.2329872964053381,-0.2,1,314.0,810.0,1.0,466.0,1,0.3375519191089371,0.0
1245,1245,0.2116951960523752,0.2,0,271.0,879.0,0.0,280.0,1,0.5015003552481248,0.0
1246,1246,-0.6998232275035172,-0.7,1,282.0,866.0,1.0,282.0,1,0.36966557762547125,0.0
1247,1247,0.08039871073718818,0.1,0,415.0,704.0,0.0,741.0,1,0.6094696780986052,0.0
1248,1248,0.3191646201702205,0.3,0,473.0,685.0,0.0,432.0,1,0.290155437968467,0.0
1249,1249,-0.742703497242674,-0.7,1,378.0,607.0,1.0,395.0,1,0.0324766807784308,0.0
1250,1250,-0.40793566572874984,-0.4,1,494.0,651.0,1.0,505.0,1,0.9976599301367859,0.0
1251,1251,0.4458152480894655,0.4,0,325.0,747.0,0.0,198.0,1,0.478861989949656,0.0
1252,1252,-0.0418806991377092,-0.0,1,496.0,583.0,0.0,1001.0,0,0.9808929598654786,0.0
1253,1253,0.553121266551301,0.6,0,482.0,838.0,0.0,200.0,1,0.8971494194814766,0.0
1254,1254,0.6331535898514675,0.6,0,384.0,926.0,0.0,190.0,1,0.3381245784049758,0.0
1255,1255,-0.33945962028654497,-0.3,1,322.0,776.0,1.0,342.0,1,0.4825969491036546,0.0
1256,1256,0.330113369348513,0.3,0,269.0,801.0,0.0,250.0,1,0.44796453814149195,0.0
1257,1257,-0.08985392948886206,-0.1,1,369.0,791.0,1.0,930.0,1,0.5732318214154423,0.0
1258,1258,0.8841270825543373,0.9,0,487.0,712.0,0.0,271.0,1,0.11829755220015858,0.0
1259,1259,0.42161587026426295,0.4,0,275.0,534.0,0.0,331.0,1,0.6728487493383726,0.0
1260,1260,0.8864629334344949,0.9,0,491.0,550.0,0.0,289.0,1,0.5949146220563543,0.0
1261,1261,0.9628906588277908,1.0,0,371.0,990.0,0.0,169.0,1,0.671657889182933,0.0
1262,1262,0.21960271219921768,0.2,0,301.0,666.0,0.0,673.0,1,0.20753881108022554,0.0
1263,1263,-0.29502102669239605,-0.3,1,251.0,746.0,1.0,733.0,1,0.3870380708087682,0.0
1264,1264,0.27161187592743663,0.3,0,447.0,990.0,0.0,263.0,1,0.9716187722299582,0.0
1265,1265,0.5842905028171745,0.6,0,405.0,958.0,0.0,207.0,1,0.616721464716026,0.0
1266,1266,0.3218834332557996,0.3,0,450.0,572.0,0.0,318.0,1,0.7711257007018173,0.0
1267,1267,0.4731611663542368,0.5,0,267.0,998.0,0.0,225.0,1,0.9494904209951432,0.0
1268,1268,0.2667359717421738,0.3,0,358.0,972.0,0.0,380.0,1,0.3387184890053977,0.0
1269,1269,0.991976125102122,1.0,0,343.0,845.0,0.0,122.0,1,0.5168422424109465,0.0
1270,1270,0.48533851882301615,0.5,0,322.0,582.0,0.0,296.0,1,0.9136468337866278,0.0
1271,1271,-0.47504882740611976,-0.5,1,385.0,782.0,1.0,713.0,1,0.029387224536498446,0.0
1272,1272,0.5284394651623825,0.5,0,438.0,928.0,0.0,404.0,1,0.33067532577467185,0.0
