,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,configuration,chosen_color
4086,4086,-0.8923599413922935,-0.9,1.0,298.0,700.0,1.0,192.0,1,-1.0,-1.0
4087,4087,0.8167109051691409,0.8,-1.0,281.0,500.0,0.0,4219.0,0,-1.0,0.0
4088,4088,-0.832638710879051,-0.8,-1.0,298.0,961.0,0.0,3741.0,0,1.0,0.0
4089,4089,0.8685746740784913,0.9,-1.0,381.0,819.0,0.0,3800.0,0,-1.0,0.0
4090,4090,-0.554160258804906,-0.6,-1.0,452.0,836.0,0.0,3712.0,0,1.0,0.0
4091,4091,-0.5238939437471111,-0.5,-1.0,360.0,708.0,0.0,3932.0,0,1.0,0.0
4092,4092,0.643203597651839,0.6,1.0,323.0,536.0,1.0,151.0,1,1.0,1.0
4093,4093,0.5762540666378232,0.6,1.0,460.0,885.0,1.0,285.0,1,1.0,1.0
4094,4094,0.07488410643108656,0.1,-1.0,365.0,558.0,0.0,4077.0,0,-1.0,0.0
4095,4095,0.8955710172448087,0.9,-1.0,276.0,529.0,0.0,4195.0,0,-1.0,0.0
4096,4096,-0.418353221140783,-0.4,1.0,412.0,975.0,1.0,113.0,1,-1.0,-1.0
4097,4097,0.39638115366034354,0.4,1.0,374.0,681.0,1.0,125.0,1,1.0,1.0
4098,4098,-0.20155989798956264,-0.2,1.0,446.0,811.0,1.0,643.0,1,-1.0,-1.0
4099,4099,-0.698851466773257,-0.7,-1.0,404.0,935.0,0.0,3661.0,0,1.0,0.0
4100,4100,0.4586848918172085,0.5,1.0,263.0,671.0,1.0,336.0,1,1.0,1.0
4101,4101,-0.4335238365910868,-0.4,1.0,424.0,961.0,1.0,-825.0,1,-1.0,-1.0
4102,4102,-0.024829872710228074,-0.0,-1.0,404.0,711.0,0.0,3885.0,0,1.0,0.0
4103,4103,0.3468300945955659,0.3,-1.0,295.0,741.0,0.0,3964.0,0,-1.0,0.0
4104,4104,-0.6181863728383639,-0.6,-1.0,428.0,541.0,0.0,4031.0,0,1.0,0.0
4105,4105,-0.8722924144323622,-0.9,-1.0,491.0,661.0,0.0,3848.0,0,1.0,0.0
4106,4106,-0.48264005222189044,-0.5,1.0,280.0,684.0,1.0,216.0,1,-1.0,-1.0
4107,4107,-0.3584012584077044,-0.4,-1.0,487.0,960.0,0.0,3553.0,0,1.0,0.0
4108,4108,-0.6461432338218339,-0.6,-1.0,336.0,625.0,0.0,4039.0,0,1.0,0.0
4109,4109,0.843932666924882,0.8,1.0,433.0,881.0,1.0,266.0,1,1.0,1.0
4110,4110,0.308457241499671,0.3,1.0,425.0,745.0,1.0,380.0,1,1.0,1.0
4111,4111,-0.7628584819701723,-0.8,1.0,381.0,587.0,1.0,-78.0,1,-1.0,-1.0
4112,4112,0.8638344730226947,0.9,1.0,368.0,797.0,1.0,185.0,1,1.0,1.0
4113,4113,-0.6877423877180479,-0.7,1.0,255.0,823.0,1.0,122.0,1,-1.0,-1.0
4114,4114,0.26720103213744506,0.3,1.0,347.0,760.0,1.0,353.0,1,1.0,1.0
4115,4115,-0.8998720109509435,-0.9,-1.0,324.0,910.0,0.0,3766.0,0,1.0,0.0
4116,4116,0.6781789899292502,0.7,-1.0,343.0,715.0,0.0,3942.0,0,-1.0,0.0
4117,4117,0.84450191227645,0.8,1.0,468.0,872.0,1.0,130.0,1,1.0,1.0
4118,4118,0.643597644704701,0.6,-1.0,268.0,694.0,0.0,4038.0,0,-1.0,0.0
4119,4119,0.8511755573179461,0.9,-1.0,353.0,860.0,1.0,-343.0,0,-1.0,-1.0
4120,4120,0.40884692570716796,0.4,1.0,334.0,602.0,1.0,494.0,1,1.0,1.0
4121,4121,-0.37849968767861186,-0.4,1.0,441.0,730.0,1.0,-521.0,1,-1.0,-1.0
4122,4122,0.5763637159484044,0.6,-1.0,253.0,644.0,0.0,4103.0,0,-1.0,0.0
4123,4123,0.6390952727431604,0.6,-1.0,260.0,558.0,0.0,4182.0,0,-1.0,0.0
4124,4124,-0.593936276128264,-0.6,-1.0,303.0,632.0,0.0,4065.0,0,1.0,0.0
4125,4125,-0.5025470603522709,-0.5,1.0,408.0,739.0,1.0,173.0,1,-1.0,-1.0
4126,4126,0.14705489139086259,0.1,1.0,308.0,959.0,1.0,1413.0,1,1.0,1.0
4127,4127,0.344048571586124,0.3,-1.0,430.0,726.0,0.0,3844.0,0,-1.0,0.0
4128,4128,0.4469957885436352,0.4,-1.0,273.0,894.0,0.0,3833.0,0,-1.0,0.0
