,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
31,31,0.6522669275819013,0.7,0,491.0,500.0,0.0,399.0,1,0.0236765082853575,0.0008535431958135958
32,32,-0.8864977432020471,-0.9,1,387.0,638.0,1.0,155.0,1,0.4239121192035329,0.0048401251222606415
33,33,0.20593740659199167,0.2,0,295.0,568.0,0.0,197.0,1,0.5278984740806565,0.0007029768266669412
34,34,0.012215496973420947,0.0,0,271.0,696.0,0.0,373.0,1,0.2720102307517489,0.0017764770866371966
35,35,0.258964982717651,0.3,0,484.0,574.0,0.0,452.0,1,0.995183800194371,0.0028588844285467514
36,36,-0.5938069452354056,-0.6,1,438.0,632.0,1.0,470.0,1,0.39897425753005666,0.0034588879028255404
37,37,0.1324087990281595,0.1,0,403.0,644.0,0.0,573.0,1,0.10211012666722208,0.0011312061152754715
38,38,-0.7681109193166102,-0.8,1,272.0,741.0,1.0,597.0,1,0.5888660938799418,0.0011499383948055354
39,39,-0.9082705024753774,-0.9,1,345.0,651.0,1.0,324.0,1,0.03857759986939413,0.004798110345645077
40,40,-0.9206237977022322,-0.9,1,365.0,974.0,1.0,311.0,1,0.24071946308116587,0.00407185543640189
41,41,0.6175273471533202,0.6,0,360.0,678.0,0.0,382.0,1,0.19662331280732337,0.000938951913848805
42,42,0.8333837108734179,0.8,0,432.0,902.0,0.0,426.0,1,0.5304820997361258,0.0028353678468933993
43,43,-0.5237689585048901,-0.5,1,350.0,643.0,1.0,417.0,1,0.46096665096640754,0.0016707313684032454
44,44,-0.40522201056975793,-0.4,1,304.0,669.0,1.0,387.0,1,0.7265299424845085,0.0037698315268785716
45,45,0.24627348971967655,0.2,0,383.0,725.0,0.0,272.0,1,0.46749221987629797,0.004689031259683055
46,46,0.27314675171915503,0.3,0,327.0,614.0,0.0,269.0,1,0.3069791329517,0.004857278306419539
47,47,0.7267572104121744,0.7,0,462.0,527.0,0.0,411.0,1,0.8494773948718518,0.004458407538824141
48,48,0.9626357502844418,1.0,0,460.0,506.0,0.0,324.0,1,0.004435442778011445,0.0023190975970218074
49,49,-0.07457769622284594,-0.1,1,408.0,821.0,1.0,491.0,1,0.8733314445718542,0.0032315558936426253
50,50,-0.41328751652135765,-0.4,1,255.0,560.0,1.0,255.0,1,0.37824542417933593,0.0042750330672943196
