,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
85,85,-0.7545427114931305,-0.8,1,499.0,861.0,1.0,580.0,1,0.20399067574150725,0.20399067574150725
86,86,-0.8286739742829241,-0.8,1,475.0,578.0,1.0,227.0,1,0.4759903215743176,0.4759903215743176
87,87,-0.9734556727835393,-1.0,1,394.0,786.0,1.0,630.0,1,0.2829955448758595,0.2829955448758595
88,88,-0.1745220240008074,-0.2,1,378.0,874.0,1.0,1968.0,1,0.10589629960681346,0.10589629960681346
89,89,-0.854403927277968,-0.9,1,365.0,672.0,1.0,363.0,1,0.06965558360983698,0.06965558360983698
90,90,0.9289611952912424,0.9,0,483.0,643.0,0.0,194.0,1,0.24355096733045445,0.24355096733045445
91,91,0.2519889287396144,0.3,0,437.0,775.0,0.0,398.0,1,0.45863947030142077,0.45863947030142077
92,92,0.5119225688493256,0.5,0,285.0,905.0,0.0,240.0,1,0.017152004398564846,0.017152004398564846
93,93,0.2120171472632264,0.2,0,468.0,630.0,1.0,102.0,0,0.4176467475806984,0.4176467475806984
94,94,-0.8172575236101962,-0.8,1,471.0,576.0,1.0,213.0,1,0.12229363867799209,0.12229363867799209
95,95,0.5613554187122047,0.6,0,489.0,742.0,1.0,219.0,0,0.49537438506563125,0.49537438506563125
96,96,0.8437901299317612,0.8,0,370.0,524.0,0.0,96.0,1,0.41477143166252994,0.41477143166252994
97,97,0.17609508914077554,0.2,0,263.0,553.0,1.0,144.0,0,0.16802016157242466,0.16802016157242466
98,98,0.2843079849879824,0.3,0,397.0,502.0,0.0,441.0,1,0.16719191132828753,0.16719191132828753
99,99,0.8313832152692748,0.8,0,338.0,707.0,0.0,415.0,1,0.3131521322104552,0.3131521322104552
100,100,0.2038552369182678,0.2,0,321.0,676.0,1.0,483.0,0,0.45717009535790637,0.45717009535790637
101,101,-0.8073511377977731,-0.8,1,348.0,585.0,1.0,427.0,1,0.24986791417285803,0.24986791417285803
102,102,0.2300320459924976,0.2,0,378.0,679.0,0.0,623.0,1,0.21411178281707355,0.21411178281707355
103,103,0.21112433023610055,0.2,0,294.0,639.0,0.0,197.0,1,0.35484987113464744,0.35484987113464744
104,104,0.5165844543925862,0.5,0,288.0,752.0,0.0,150.0,1,0.2371041658540698,0.2371041658540698
105,105,0.25032972483016325,0.3,0,272.0,995.0,1.0,473.0,0,0.29067476037814227,0.29067476037814227
106,106,0.09176458335393156,0.1,0,373.0,879.0,1.0,1798.0,0,0.14311565727806147,0.14311565727806147
107,107,0.7886190495612739,0.8,0,262.0,863.0,1.0,345.0,0,0.3932927096844663,0.3932927096844663
108,108,-0.5666955812993415,-0.6,1,279.0,786.0,1.0,595.0,1,0.29812070162588555,0.29812070162588555
109,109,-0.5099073238242953,-0.5,1,254.0,723.0,1.0,123.0,1,0.4287414973812538,0.4287414973812538
110,110,0.2575791504763656,0.3,0,297.0,580.0,0.0,443.0,1,0.07561280386148683,0.07561280386148683
111,111,-0.7640962193169198,-0.8,1,273.0,650.0,1.0,247.0,1,0.1750853968100124,0.1750853968100124
112,112,-0.9020254808343176,-0.9,1,368.0,619.0,1.0,173.0,1,0.1075959988133115,0.1075959988133115
113,113,0.36306267338051823,0.4,0,406.0,941.0,0.0,433.0,1,0.07938741521615555,0.07938741521615555
114,114,0.4586854445470543,0.5,0,309.0,941.0,0.0,90.0,1,0.24733531175298185,0.24733531175298185
115,115,0.41385551775484,0.4,0,453.0,752.0,0.0,185.0,1,0.09949531708966164,0.09949531708966164
116,116,-0.5181937269264052,-0.5,1,345.0,501.0,0.0,64.0,0,0.07553365337145651,0.07553365337145651
