,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1750,1750,-0.9972621033653681,-1.0,1,383.0,979.0,1.0,318.0,1
1751,1751,0.26237669482044956,0.3,0,477.0,665.0,0.0,498.0,1
1752,1752,0.8913655872937642,0.9,0,413.0,622.0,0.0,455.0,1
1753,1753,-0.4803634502244225,-0.5,1,367.0,817.0,1.0,426.0,1
1754,1754,0.46045759710072787,0.5,0,259.0,747.0,0.0,424.0,1
1755,1755,0.2730746949059708,0.3,0,421.0,591.0,0.0,1108.0,1
1756,1756,0.6524095539259203,0.7,0,322.0,941.0,0.0,207.0,1
1757,1757,0.6630172606562914,0.7,0,368.0,879.0,0.0,453.0,1
1758,1758,0.9333511977045017,0.9,0,477.0,632.0,0.0,231.0,1
1759,1759,-0.5372367365731452,-0.5,1,401.0,601.0,1.0,298.0,1
1760,1760,0.7225698262334062,0.7,0,269.0,563.0,0.0,138.0,1
1761,1761,-0.061844281154811664,-0.1,1,356.0,741.0,0.0,253.0,0
1762,1762,0.6135665289672152,0.6,0,345.0,956.0,0.0,359.0,1
1763,1763,-0.9813868590381007,-1.0,1,406.0,604.0,1.0,210.0,1
1764,1764,-0.6731506448729787,-0.7,1,486.0,995.0,1.0,249.0,1
1765,1765,-0.03931304253952539,-0.0,1,305.0,678.0,1.0,1067.0,1
1766,1766,-0.4410488463488642,-0.4,1,286.0,778.0,1.0,906.0,1
1767,1767,0.14439609285967658,0.1,0,490.0,843.0,0.0,657.0,1
1768,1768,-0.2113597668037659,-0.2,1,286.0,592.0,1.0,562.0,1
1769,1769,-0.4283771013260389,-0.4,1,421.0,502.0,1.0,307.0,1
1770,1770,-0.6353035180049857,-0.6,1,361.0,593.0,1.0,286.0,1
1771,1771,0.11361543223765436,0.1,0,494.0,776.0,0.0,2120.0,1
1772,1772,-0.05796528646552268,-0.1,1,379.0,966.0,1.0,375.0,1
1773,1773,-0.5018284827140258,-0.5,1,343.0,738.0,1.0,279.0,1
1774,1774,-0.18679637767228008,-0.2,1,349.0,904.0,1.0,2007.0,1
1775,1775,-0.4672273093379564,-0.5,1,462.0,675.0,1.0,323.0,1
1776,1776,-0.8508926197376105,-0.9,1,408.0,906.0,1.0,236.0,1
1777,1777,0.10653395291071921,0.1,0,343.0,585.0,0.0,342.0,1
1778,1778,0.7934097166012741,0.8,0,258.0,998.0,0.0,254.0,1
1779,1779,-0.20474057979268534,-0.2,1,434.0,817.0,1.0,359.0,1
1780,1780,-0.11192831691208616,-0.1,1,401.0,812.0,1.0,1287.0,1
1781,1781,-0.3062873374615329,-0.3,1,490.0,919.0,1.0,881.0,1
1782,1782,0.7231974496291369,0.7,0,349.0,812.0,0.0,259.0,1
1783,1783,0.686709308474919,0.7,0,308.0,982.0,0.0,430.0,1
1784,1784,0.6576312641450863,0.7,0,446.0,516.0,0.0,248.0,1
1785,1785,0.6385386457855673,0.6,0,376.0,829.0,0.0,565.0,1
