,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
6374,6374,-0.01787343175422107,-0.0,1,327.0,772.0,0.0,401.0,0,0.31489495936269785,0.0
6375,6375,0.2467925334590506,0.2,0,405.0,592.0,0.0,233.0,1,0.9968585163329672,0.0
6376,6376,-0.23271926410352428,-0.2,1,418.0,749.0,1.0,213.0,1,0.908989156477811,0.0
6377,6377,0.7305675761210704,0.7,0,469.0,700.0,0.0,751.0,1,0.1201107370442286,0.0
6378,6378,0.4412164121142699,0.4,0,300.0,665.0,0.0,185.0,1,0.9586182392530909,0.0
6379,6379,0.1441870429469354,0.1,0,340.0,764.0,0.0,226.0,1,0.8992009719164004,0.0
6380,6380,0.7091402226355161,0.7,0,369.0,676.0,0.0,685.0,1,0.12192436204655578,0.0
6381,6381,0.7605845034173939,0.8,0,359.0,597.0,0.0,114.0,1,0.7373396806486254,0.0
6382,6382,0.9874601671196466,1.0,0,254.0,712.0,0.0,164.0,1,0.6593506538563761,0.0
6383,6383,0.17282696229463035,0.2,0,360.0,869.0,0.0,1811.0,1,0.18549837698027838,0.0
6384,6384,0.6934921157368104,0.7,0,478.0,662.0,0.0,340.0,1,0.5003526919679586,0.0
6385,6385,0.37503564137769163,0.4,0,377.0,849.0,0.0,254.0,1,0.4942696875190673,0.0
6386,6386,-0.04743881766722624,-0.0,1,396.0,596.0,0.0,268.0,0,0.7217173999842521,0.0
6387,6387,-0.8582596687737378,-0.9,1,489.0,992.0,1.0,69.0,1,0.3874969148804812,0.0
6388,6388,0.014001918848680184,0.0,0,396.0,931.0,0.0,1803.0,1,0.15846687235236298,0.0
6389,6389,-0.2853645666863165,-0.3,1,296.0,883.0,1.0,241.0,1,0.5112931649739871,0.0
6390,6390,0.2621478650079683,0.3,0,343.0,777.0,0.0,2540.0,1,0.11367812442515207,0.0
6391,6391,0.7230152084327406,0.7,0,496.0,575.0,0.0,219.0,1,0.5579704486819731,0.0
6392,6392,-0.25927767897743403,-0.3,1,389.0,741.0,1.0,720.0,1,0.2357849194156437,0.0
6393,6393,-0.5496473798998989,-0.5,1,302.0,536.0,1.0,352.0,1,0.23561210972270247,0.0
6394,6394,0.1389323774828115,0.1,0,486.0,901.0,0.0,313.0,1,0.7482233993109688,0.0
6395,6395,-0.1791552817707076,-0.2,1,255.0,759.0,1.0,216.0,1,0.829091361178703,0.0
6396,6396,0.056673159197726974,0.1,0,267.0,866.0,0.0,1277.0,1,0.14416516498997436,0.0
6397,6397,0.4166033379551759,0.4,0,373.0,909.0,0.0,228.0,1,0.5674561829577147,0.0
6398,6398,-0.6304443640302735,-0.6,1,453.0,700.0,1.0,277.0,1,0.42309740518556027,0.0
6399,6399,-0.5649930765049911,-0.6,1,282.0,802.0,1.0,356.0,1,0.13592949309702929,0.0
6400,6400,0.20979288968552634,0.2,0,468.0,811.0,1.0,-909.0,0,0.7574158259619171,0.0
6401,6401,0.5512247727949022,0.6,0,487.0,765.0,0.0,378.0,1,0.32587339949067606,0.0
6402,6402,0.6346487153954792,0.6,0,355.0,686.0,0.0,229.0,1,0.3703777726547365,0.0
6403,6403,-0.8589812535675472,-0.9,1,405.0,676.0,1.0,239.0,1,0.6580617895660685,0.0
6404,6404,0.93445826328946,0.9,0,458.0,628.0,0.0,224.0,1,0.8331746994090806,0.0
6405,6405,0.7096111392872486,0.7,0,421.0,893.0,0.0,236.0,1,0.6919192634657509,0.0
6406,6406,0.8281211921536962,0.8,0,262.0,619.0,0.0,409.0,1,0.16696263741501433,0.0
6407,6407,0.348281094214846,0.3,0,308.0,655.0,0.0,777.0,1,0.12310594262190222,0.0
6408,6408,-0.10903875199225621,-0.1,1,358.0,886.0,1.0,1306.0,1,0.29696101672049696,0.0
6409,6409,0.32466958231022347,0.3,0,273.0,691.0,0.0,206.0,1,0.6295814311895866,0.0
6410,6410,0.6700062367929984,0.7,0,397.0,688.0,0.0,265.0,1,0.5885700742606064,0.0
6411,6411,0.561661845139402,0.6,0,373.0,672.0,0.0,495.0,1,0.1981611041841339,0.0
6412,6412,0.4695670744782863,0.5,0,492.0,969.0,0.0,509.0,1,0.19418885086669313,0.0
6413,6413,-0.04433258480448621,-0.0,1,467.0,955.0,0.0,258.0,0,0.7789802067259118,0.0
6414,6414,-0.09747458450118884,-0.1,1,461.0,957.0,1.0,362.0,1,0.7698488580202998,0.0
6415,6415,0.9347436535452129,0.9,0,465.0,871.0,0.0,194.0,1,0.6192193067304732,0.0
6416,6416,0.9549935842772728,1.0,0,470.0,701.0,0.0,179.0,1,0.6730955122156561,0.0
6417,6417,0.8062563591090757,0.8,0,374.0,674.0,0.0,412.0,1,0.21408951503565665,0.0
6418,6418,-0.6051120744885428,-0.6,1,464.0,512.0,1.0,164.0,1,0.7056543179749097,0.0
6419,6419,0.17445141953696264,0.2,0,310.0,948.0,0.0,612.0,1,0.21445043563824417,0.0
6420,6420,0.7965361921162819,0.8,0,400.0,849.0,0.0,271.0,1,0.5674117823249891,0.0
6421,6421,-0.02049419061380764,-0.0,1,395.0,716.0,1.0,909.0,1,0.3819089805572573,0.0
6422,6422,-0.31716748254397875,-0.3,1,434.0,898.0,1.0,288.0,1,0.8931897180429746,0.0
6423,6423,0.25534192854601767,0.3,0,267.0,945.0,0.0,3788.0,1,0.10241269234536576,0.0
6424,6424,0.9839458820457627,1.0,0,390.0,879.0,0.0,131.0,1,0.7933404344664808,0.0
6425,6425,0.4876257638932753,0.5,0,339.0,964.0,0.0,217.0,1,0.6946491665832852,0.0
6426,6426,0.18192698309770328,0.2,0,356.0,827.0,0.0,217.0,1,0.6191151376217356,0.0
6427,6427,-0.43701678969391855,-0.4,1,458.0,563.0,1.0,439.0,1,0.17068654129150287,0.0
6428,6428,-0.5808866129960331,-0.6,1,340.0,629.0,1.0,271.0,1,0.6619244499005634,0.0
6429,6429,-0.704458729331026,-0.7,1,459.0,916.0,1.0,145.0,1,0.7969265457526574,0.0
6430,6430,-0.7907915288970215,-0.8,1,367.0,797.0,1.0,226.0,1,0.5155184076798233,0.0
6431,6431,-0.3845731224568252,-0.4,1,259.0,723.0,1.0,408.0,1,0.4308787478005671,0.0
6432,6432,0.47697731841822844,0.5,0,327.0,699.0,0.0,344.0,1,0.28897525044440303,0.0
6433,6433,0.7849327606410528,0.8,0,310.0,829.0,0.0,251.0,1,0.9373330115906218,0.0
6434,6434,0.48262615815895704,0.5,0,332.0,932.0,0.0,196.0,1,0.8924905135327547,0.0
6435,6435,0.3981187106944144,0.4,0,439.0,827.0,0.0,274.0,1,0.4296659852263238,0.0
