,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1447,1447,0.8491122165117073,0.8,0,433.0,505.0,0.0,212.0,1
1448,1448,0.007179707967199356,0.0,0,354.0,791.0,1.0,215.0,0
1449,1449,-0.2317082519148297,-0.2,1,390.0,538.0,0.0,482.0,0
1450,1450,0.4546410380714079,0.5,0,437.0,621.0,0.0,562.0,1
1451,1451,-0.4951643680836917,-0.5,1,314.0,904.0,1.0,162.0,1
1452,1452,-0.14771210541472413,-0.1,1,254.0,584.0,1.0,1322.0,1
1453,1453,0.37503383750233943,0.4,0,357.0,987.0,0.0,616.0,1
1454,1454,0.6821950499348979,0.7,0,398.0,893.0,0.0,1009.0,1
1455,1455,0.9640835890436386,1.0,0,435.0,753.0,0.0,572.0,1
1456,1456,0.4387516678987857,0.4,0,472.0,991.0,0.0,497.0,1
1457,1457,0.8768938692747199,0.9,0,375.0,501.0,0.0,204.0,1
1458,1458,0.136670111841805,0.1,0,454.0,841.0,0.0,175.0,1
1459,1459,0.4354581520739156,0.4,0,389.0,722.0,0.0,229.0,1
1460,1460,0.6526525679337807,0.7,0,426.0,702.0,0.0,672.0,1
1461,1461,-0.5924967918004083,-0.6,1,375.0,554.0,1.0,91.0,1
1462,1462,0.8081062714790428,0.8,0,378.0,938.0,0.0,204.0,1
1463,1463,-0.9857834606054579,-1.0,1,289.0,628.0,1.0,373.0,1
1464,1464,0.12640854342991292,0.1,0,413.0,785.0,1.0,782.0,0
1465,1465,-0.8943939685278393,-0.9,1,460.0,966.0,1.0,804.0,1
1466,1466,-0.846929189782158,-0.8,1,298.0,912.0,1.0,740.0,1
1467,1467,-0.5026193219007238,-0.5,1,256.0,873.0,1.0,561.0,1
1468,1468,-0.034619039527936435,-0.0,1,331.0,518.0,1.0,1831.0,1
1469,1469,-0.039081830807338624,-0.0,1,417.0,517.0,1.0,146.0,1
1470,1470,0.0281508633896288,0.0,0,256.0,956.0,0.0,998.0,1
1471,1471,0.5154210266130559,0.5,0,499.0,595.0,1.0,96.0,0
1472,1472,0.24559861269940297,0.2,0,413.0,935.0,0.0,402.0,1
1473,1473,-0.972196473418314,-1.0,1,483.0,623.0,1.0,334.0,1
1474,1474,0.770121938681982,0.8,0,486.0,920.0,0.0,134.0,1
1475,1475,-0.06385549190092354,-0.1,1,407.0,793.0,1.0,330.0,1
1476,1476,0.11278449262045465,0.1,0,440.0,666.0,0.0,834.0,1
1477,1477,0.945111007747629,0.9,0,417.0,591.0,0.0,812.0,1
1478,1478,-0.4837687974051361,-0.5,1,426.0,751.0,1.0,293.0,1
1479,1479,-0.9332220693775053,-0.9,1,406.0,786.0,1.0,168.0,1
1480,1480,0.29725149822619024,0.3,0,487.0,567.0,0.0,246.0,1
1481,1481,0.027426658083834266,0.0,0,250.0,968.0,1.0,262.0,0
1482,1482,0.45060917630521224,0.5,0,332.0,861.0,0.0,1157.0,1
1483,1483,-0.44327162950024457,-0.4,1,308.0,694.0,1.0,168.0,1
1484,1484,-0.29849528323383434,-0.3,1,258.0,954.0,1.0,238.0,1
1485,1485,-0.13041202863014756,-0.1,1,379.0,815.0,1.0,376.0,1
1486,1486,-0.8992720635302298,-0.9,1,385.0,855.0,1.0,260.0,1
1487,1487,-0.5868235123950469,-0.6,1,428.0,962.0,1.0,940.0,1
1488,1488,-0.6156775427033854,-0.6,1,303.0,682.0,1.0,175.0,1
1489,1489,0.059473965349005065,0.1,0,398.0,710.0,1.0,2592.0,0
1490,1490,0.6662995169301735,0.7,0,431.0,526.0,0.0,433.0,1
1491,1491,0.31900307961440144,0.3,0,320.0,828.0,0.0,322.0,1
1492,1492,-0.644854004772526,-0.6,1,277.0,765.0,1.0,138.0,1
1493,1493,0.6187943837242855,0.6,0,341.0,965.0,0.0,334.0,1
1494,1494,0.5727392892520051,0.6,0,412.0,781.0,0.0,377.0,1
1495,1495,-0.9630185569604917,-1.0,1,387.0,653.0,1.0,350.0,1
1496,1496,0.783415828178025,0.8,0,317.0,614.0,0.0,399.0,1
1497,1497,-0.666034323834916,-0.7,1,336.0,671.0,1.0,613.0,1
1498,1498,-0.33349541972679564,-0.3,1,440.0,811.0,1.0,329.0,1
1499,1499,-0.12695576235638728,-0.1,1,351.0,761.0,1.0,258.0,1
1500,1500,0.5460778314532533,0.5,0,451.0,632.0,0.0,417.0,1
1501,1501,0.9112766792136691,0.9,0,437.0,944.0,0.0,449.0,1
1502,1502,-0.8678603488326102,-0.9,1,353.0,795.0,1.0,332.0,1
1503,1503,0.9989845224397942,1.0,0,486.0,633.0,0.0,301.0,1
1504,1504,0.10843376136903671,0.1,0,446.0,502.0,0.0,922.0,1
1505,1505,-0.9463239141086341,-0.9,1,353.0,920.0,1.0,287.0,1
1506,1506,0.6463374985579551,0.6,0,397.0,653.0,0.0,210.0,1
1507,1507,0.663488826746754,0.7,0,389.0,998.0,0.0,493.0,1
1508,1508,-0.6817101825884453,-0.7,1,475.0,629.0,1.0,606.0,1
1509,1509,0.06814435365750526,0.1,0,294.0,674.0,0.0,532.0,1
1510,1510,-0.10463523765656024,-0.1,1,451.0,787.0,1.0,492.0,1
1511,1511,-0.6932092498458293,-0.7,1,347.0,837.0,1.0,196.0,1
1512,1512,0.6773140201523051,0.7,0,483.0,554.0,0.0,933.0,1
1513,1513,-0.26608329396437447,-0.3,1,317.0,974.0,1.0,819.0,1
1514,1514,-0.4734207453655257,-0.5,1,313.0,951.0,1.0,786.0,1
1515,1515,-0.9787904008355781,-1.0,1,426.0,943.0,1.0,391.0,1
1516,1516,-0.0501751398750685,-0.1,1,357.0,749.0,1.0,224.0,1
1517,1517,0.10619247235433815,0.1,0,445.0,750.0,0.0,295.0,1
1518,1518,-0.07191610022128381,-0.1,1,306.0,656.0,0.0,528.0,0
1519,1519,0.19634630605568626,0.2,0,378.0,772.0,0.0,250.0,1
1520,1520,-0.5462612268052485,-0.5,1,391.0,664.0,1.0,285.0,1
1521,1521,-0.7734788992308064,-0.8,1,346.0,745.0,1.0,239.0,1
1522,1522,0.6739044568611692,0.7,0,464.0,696.0,0.0,390.0,1
1523,1523,0.607542733035779,0.6,0,377.0,990.0,0.0,113.0,1
1524,1524,0.8283810772150402,0.8,0,251.0,999.0,0.0,230.0,1
1525,1525,-0.35728080462516476,-0.4,1,294.0,929.0,1.0,357.0,1
1526,1526,-0.043660164341486674,-0.0,1,452.0,554.0,0.0,874.0,0
1527,1527,0.5800598984181606,0.6,0,324.0,920.0,0.0,936.0,1
1528,1528,0.4097579318664897,0.4,0,277.0,789.0,0.0,1384.0,1
1529,1529,-0.12320231334937004,-0.1,1,279.0,798.0,1.0,873.0,1
1530,1530,0.8922346023576553,0.9,0,340.0,635.0,0.0,105.0,1
1531,1531,-0.44776804351290034,-0.4,1,349.0,617.0,1.0,164.0,1
1532,1532,-0.3590919973346052,-0.4,1,403.0,605.0,1.0,332.0,1
1533,1533,0.004191238244842577,0.0,0,492.0,603.0,1.0,715.0,0
1534,1534,-0.8831304312132997,-0.9,1,467.0,707.0,1.0,146.0,1
1535,1535,-0.553211583860967,-0.6,1,391.0,830.0,1.0,209.0,1
1536,1536,0.09228340557189152,0.1,0,364.0,758.0,1.0,658.0,0
1537,1537,-0.7099759885677306,-0.7,1,419.0,606.0,1.0,115.0,1
1538,1538,0.7237903291926617,0.7,0,255.0,981.0,0.0,254.0,1
1539,1539,0.3531429396098318,0.4,0,373.0,842.0,0.0,995.0,1
1540,1540,0.7409757864027648,0.7,0,371.0,977.0,0.0,232.0,1
1541,1541,-0.7665321147501567,-0.8,1,282.0,714.0,1.0,484.0,1
1542,1542,0.16887846587353783,0.2,0,408.0,824.0,1.0,208.0,0
1543,1543,-0.2649809181180891,-0.3,1,496.0,565.0,1.0,349.0,1
1544,1544,-0.5257063214037854,-0.5,1,300.0,566.0,1.0,154.0,1
1545,1545,0.7014033138527171,0.7,0,433.0,649.0,0.0,248.0,1
1546,1546,-0.8072880382990861,-0.8,1,467.0,529.0,1.0,494.0,1
1547,1547,-0.8635318271804602,-0.9,1,296.0,640.0,1.0,174.0,1
1548,1548,-0.043632193330177316,-0.0,1,259.0,553.0,1.0,368.0,1
1549,1549,0.7552163956275264,0.8,0,432.0,882.0,0.0,706.0,1
1550,1550,0.8233134276364509,0.8,0,393.0,811.0,0.0,296.0,1
1551,1551,-0.9357573108302955,-0.9,1,373.0,521.0,1.0,276.0,1
1552,1552,0.49793277888286647,0.5,0,362.0,736.0,1.0,462.0,0
1553,1553,0.22536631934911244,0.2,0,405.0,907.0,0.0,238.0,1
1554,1554,-0.7913728134942513,-0.8,1,363.0,943.0,1.0,904.0,1
1555,1555,0.3529594779560714,0.4,0,384.0,520.0,0.0,206.0,1
1556,1556,-0.5143267877534063,-0.5,1,486.0,511.0,1.0,643.0,1
1557,1557,-0.07705820157197896,-0.1,1,253.0,605.0,1.0,222.0,1
1558,1558,-0.8868236964476777,-0.9,1,348.0,926.0,1.0,396.0,1
1559,1559,-0.4524310390150237,-0.5,1,481.0,608.0,1.0,191.0,1
1560,1560,-0.5871181585268777,-0.6,1,427.0,929.0,1.0,354.0,1
1561,1561,-0.09113680979429128,-0.1,1,378.0,566.0,1.0,516.0,1
1562,1562,0.1885641068809727,0.2,0,459.0,563.0,0.0,138.0,1
1563,1563,-0.095327597239516,-0.1,1,464.0,508.0,1.0,318.0,1
1564,1564,0.6589392168678068,0.7,0,332.0,707.0,0.0,1441.0,1
1565,1565,0.70035817512405,0.7,0,276.0,898.0,0.0,566.0,1
1566,1566,0.9018582621147562,0.9,0,304.0,627.0,0.0,519.0,1
1567,1567,0.2846553859891865,0.3,0,267.0,603.0,0.0,2750.0,1
1568,1568,0.7635512739007804,0.8,0,398.0,890.0,0.0,132.0,1
1569,1569,-0.74298327958561,-0.7,1,273.0,602.0,1.0,475.0,1
1570,1570,-0.1645515026706661,-0.2,1,414.0,939.0,1.0,237.0,1
1571,1571,0.06378857996035725,0.1,0,439.0,851.0,1.0,1550.0,0
1572,1572,0.33561834784239286,0.3,0,375.0,847.0,0.0,528.0,1
1573,1573,0.27782981836527365,0.3,0,346.0,556.0,0.0,288.0,1
1574,1574,0.6825237972286704,0.7,0,394.0,998.0,0.0,1288.0,1
1575,1575,-0.28304969801695545,-0.3,1,462.0,529.0,1.0,179.0,1
1576,1576,0.4699234756488644,0.5,0,318.0,945.0,0.0,57.0,1
1577,1577,0.3361447003352871,0.3,0,487.0,753.0,0.0,180.0,1
1578,1578,0.8460016951057079,0.8,0,366.0,631.0,0.0,373.0,1
1579,1579,0.708521225890212,0.7,0,499.0,858.0,0.0,113.0,1
1580,1580,0.16928345214043405,0.2,0,435.0,827.0,1.0,2328.0,0
1581,1581,0.7273952797210756,0.7,0,465.0,637.0,0.0,178.0,1
1582,1582,0.5614758427674118,0.6,0,467.0,874.0,0.0,309.0,1
1583,1583,-0.9526723466866649,-1.0,1,271.0,924.0,1.0,175.0,1
1584,1584,-0.34011733448631065,-0.3,1,400.0,764.0,1.0,596.0,1
1585,1585,0.2927604305608804,0.3,0,353.0,810.0,0.0,2047.0,1
1586,1586,-0.7312507536026693,-0.7,1,337.0,992.0,1.0,541.0,1
1587,1587,-0.9407831187312141,-0.9,1,337.0,785.0,1.0,138.0,1
1588,1588,0.186328940863147,0.2,0,373.0,953.0,0.0,1424.0,1
1589,1589,0.25103207714075126,0.3,0,297.0,809.0,1.0,1624.0,0
1590,1590,-0.4760017815409181,-0.5,1,269.0,507.0,1.0,134.0,1
1591,1591,0.8003369444804045,0.8,0,315.0,965.0,0.0,1160.0,1
1592,1592,0.9667176395770773,1.0,0,498.0,805.0,0.0,537.0,1
1593,1593,-0.8200423507879213,-0.8,1,386.0,695.0,1.0,179.0,1
1594,1594,0.2691174652253383,0.3,0,371.0,939.0,0.0,1030.0,1
1595,1595,0.7700205069390618,0.8,0,474.0,755.0,0.0,841.0,1
1596,1596,-0.008376625084358436,-0.0,1,428.0,837.0,1.0,225.0,1
1597,1597,0.4043387999582757,0.4,0,268.0,997.0,0.0,175.0,1
1598,1598,0.9369803473796616,0.9,0,497.0,746.0,0.0,757.0,1
1599,1599,-0.8951010169169633,-0.9,1,428.0,600.0,1.0,172.0,1
1600,1600,0.9962920289465949,1.0,0,419.0,600.0,0.0,241.0,1
1601,1601,0.6848959216126822,0.7,0,427.0,523.0,0.0,210.0,1
1602,1602,-0.23697080806158333,-0.2,1,329.0,843.0,1.0,188.0,1
1603,1603,0.2157355468899187,0.2,0,431.0,598.0,1.0,2051.0,0
1604,1604,-0.8938878635453258,-0.9,1,384.0,525.0,1.0,311.0,1
1605,1605,0.5406880584843241,0.5,0,349.0,531.0,0.0,1120.0,1
1606,1606,-0.7837052920985161,-0.8,1,317.0,603.0,1.0,1030.0,1
1607,1607,0.14063911419238906,0.1,0,463.0,903.0,1.0,994.0,0
1608,1608,0.10886512390353564,0.1,0,339.0,549.0,0.0,932.0,1
1609,1609,0.9242894335627223,0.9,0,493.0,591.0,0.0,456.0,1
1610,1610,0.4157562806291917,0.4,0,421.0,817.0,0.0,382.0,1
1611,1611,0.16599749286554166,0.2,0,264.0,983.0,0.0,1163.0,1
1612,1612,0.007277859545419485,0.0,0,256.0,851.0,0.0,203.0,1
1613,1613,-0.2501931545596243,-0.3,1,496.0,870.0,1.0,134.0,1
1614,1614,0.6688550846866788,0.7,0,311.0,572.0,1.0,567.0,0
1615,1615,0.6095083780603994,0.6,0,449.0,917.0,1.0,674.0,0
1616,1616,-0.558839368555365,-0.6,1,494.0,950.0,1.0,146.0,1
1617,1617,0.36325318713787613,0.4,0,482.0,655.0,0.0,433.0,1
1618,1618,0.292510324906305,0.3,0,393.0,750.0,0.0,247.0,1
1619,1619,0.8449341063492266,0.8,0,354.0,769.0,0.0,467.0,1
1620,1620,0.5610198171960032,0.6,0,256.0,781.0,0.0,823.0,1
1621,1621,-0.7981754630684517,-0.8,1,323.0,566.0,1.0,331.0,1
1622,1622,-0.8155688916190189,-0.8,1,301.0,963.0,1.0,166.0,1
1623,1623,0.22132148337405777,0.2,0,438.0,840.0,0.0,622.0,1
1624,1624,-0.9972728063435945,-1.0,1,347.0,880.0,1.0,203.0,1
1625,1625,0.2788831162324166,0.3,0,475.0,814.0,1.0,721.0,0
1626,1626,0.3526901917805354,0.4,0,479.0,954.0,0.0,667.0,1
1627,1627,-0.2761661943209084,-0.3,1,418.0,820.0,1.0,912.0,1
1628,1628,-0.8234911507654097,-0.8,1,291.0,809.0,1.0,290.0,1
1629,1629,0.820176782539294,0.8,0,272.0,769.0,0.0,849.0,1
1630,1630,0.3170620046370216,0.3,0,256.0,866.0,0.0,438.0,1
1631,1631,-0.23899495067764231,-0.2,1,270.0,760.0,1.0,120.0,1
1632,1632,0.8493382847327082,0.8,0,422.0,674.0,0.0,574.0,1
1633,1633,0.8488190106959397,0.8,0,273.0,790.0,0.0,157.0,1
1634,1634,0.4104923572036767,0.4,0,373.0,623.0,0.0,1384.0,1
1635,1635,0.7868058834547909,0.8,0,328.0,581.0,0.0,481.0,1
1636,1636,0.061028959196422816,0.1,0,371.0,853.0,1.0,576.0,0
1637,1637,0.6181356556351563,0.6,0,282.0,700.0,0.0,408.0,1
1638,1638,-0.4295084595165368,-0.4,1,416.0,921.0,1.0,293.0,1
1639,1639,-0.028603165670730846,-0.0,1,479.0,760.0,0.0,201.0,0
1640,1640,-0.008067630376847879,-0.0,1,326.0,838.0,1.0,196.0,1
1641,1641,0.6948199092675773,0.7,0,387.0,905.0,0.0,198.0,1
1642,1642,-0.5416827584646042,-0.5,1,423.0,706.0,1.0,561.0,1
1643,1643,0.7249395136489631,0.7,0,390.0,618.0,0.0,542.0,1
1644,1644,-0.5358931593025182,-0.5,1,395.0,685.0,1.0,390.0,1
