,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
130,130,0.82159500222755,0.8,0,325.0,879.0,0.0,256.0,1,26.7607496658675
131,131,0.5944119452172509,0.6,0,414.0,793.0,0.0,2613.0,1,60.83820821741236
132,132,0.653087726147437,0.7,0,457.0,612.0,0.0,251.0,1,52.036841077884446
133,133,0.4372717399123025,0.4,0,312.0,778.0,0.0,940.0,1,84.40923901315462
134,134,-0.31921450488891545,-0.3,1,363.0,642.0,1.0,165.0,1,197.8821757333373
135,135,-0.8805306323850395,-0.9,1,431.0,736.0,1.0,133.0,1,282.0795948577559
136,136,0.2822320116139765,0.3,0,392.0,896.0,1.0,1242.0,0,107.66519825790353
137,137,-0.9364228721287313,-0.9,1,298.0,561.0,1.0,221.0,1,290.4634308193097
138,138,-0.36652255269193446,-0.4,1,353.0,668.0,1.0,89.0,1,204.97838290379016
139,139,-0.7081190899104204,-0.7,1,274.0,846.0,1.0,490.0,1,256.21786348656303
140,140,0.03248808382710844,0.0,0,461.0,540.0,0.0,259.0,1,145.12678742593374
141,141,0.8215407196791733,0.8,0,356.0,571.0,0.0,333.0,1,26.768892048124005
142,142,-0.046418895122277926,-0.0,1,473.0,917.0,0.0,190.0,0,156.96283426834168
143,143,-0.0906207688896723,-0.1,1,379.0,997.0,1.0,454.0,1,163.59311533345084
144,144,-0.4334581296203839,-0.4,1,337.0,807.0,1.0,176.0,1,215.0187194430576
145,145,-0.7449142892210672,-0.7,1,388.0,582.0,1.0,440.0,1,261.73714338316006
146,146,0.9730624385685989,1.0,0,477.0,789.0,0.0,614.0,1,4.04063421471017
147,147,0.2697755261427537,0.3,0,333.0,731.0,0.0,256.0,1,109.53367107858695
148,148,-0.28157206277496405,-0.3,1,273.0,701.0,1.0,426.0,1,192.23580941624462
149,149,0.18840504713755535,0.2,0,368.0,838.0,1.0,264.0,0,121.7392429293667
150,150,-0.7005180346059696,-0.7,1,275.0,999.0,1.0,406.0,1,255.07770519089544
151,151,0.25771105512761583,0.3,0,282.0,701.0,1.0,357.0,0,111.34334173085763
152,152,0.9344807583293222,0.9,0,257.0,628.0,0.0,405.0,1,9.827886250601669
153,153,0.5672359423631801,0.6,0,371.0,558.0,1.0,171.0,0,64.91460864552299
154,154,0.6330982946545249,0.6,0,267.0,588.0,0.0,455.0,1,55.03525580182126
155,155,-0.4031935543780003,-0.4,1,306.0,941.0,1.0,753.0,1,210.47903315670004
156,156,-0.7781841101163189,-0.8,1,353.0,891.0,1.0,276.0,1,266.7276165174478
157,157,-0.1868012723589303,-0.2,1,272.0,533.0,1.0,265.0,1,178.02019085383955
158,158,0.9952658593548489,1.0,0,322.0,774.0,0.0,314.0,1,0.7101210967726646
159,159,0.7622249758515469,0.8,0,316.0,711.0,0.0,293.0,1,35.66625362226796
160,160,-0.2217963891986816,-0.2,1,308.0,542.0,1.0,200.0,1,183.26945837980224
161,161,-0.4236508847373919,-0.4,1,253.0,921.0,1.0,496.0,1,213.54763271060878
162,162,0.6654561255342322,0.7,0,252.0,959.0,0.0,619.0,1,50.181581169865176
163,163,0.666114870334219,0.7,0,363.0,791.0,0.0,566.0,1,50.08276944986715
164,164,-0.02090091234169633,-0.0,1,419.0,683.0,0.0,678.0,0,153.13513685125446
165,165,-0.9547641097128878,-1.0,1,344.0,845.0,1.0,271.0,1,293.2146164569332
166,166,-0.35830064552701324,-0.4,1,274.0,793.0,1.0,423.0,1,203.745096829052
167,167,-0.7442055280232909,-0.7,1,373.0,711.0,1.0,786.0,1,261.63082920349365
168,168,0.530453548440408,0.5,0,423.0,841.0,0.0,726.0,1,70.43196773393879
169,169,0.24035626406241106,0.2,0,290.0,928.0,1.0,252.0,0,113.94656039063834
170,170,0.9395303481393096,0.9,0,339.0,711.0,0.0,300.0,1,9.070447779103564
171,171,-0.4348658114046722,-0.4,1,271.0,551.0,1.0,128.0,1,215.22987171070082
172,172,0.8804667105355413,0.9,0,388.0,692.0,0.0,320.0,1,17.92999341966881
173,173,0.817040758928417,0.8,0,252.0,665.0,0.0,233.0,1,27.443886160737453
174,174,0.2581597469319017,0.3,0,410.0,824.0,1.0,796.0,0,111.27603796021475
175,175,-0.2321981742410395,-0.2,1,412.0,945.0,1.0,323.0,1,184.82972613615593
176,176,0.6761999100261769,0.7,0,252.0,617.0,1.0,371.0,0,48.57001349607347
177,177,-0.08246540315965034,-0.1,1,448.0,867.0,1.0,385.0,1,162.36981047394755
178,178,-0.7051195820315068,-0.7,1,346.0,966.0,1.0,308.0,1,255.76793730472602
179,179,-0.21990868971954836,-0.2,1,428.0,507.0,1.0,685.0,1,182.98630345793225
180,180,0.8599689672582391,0.9,0,354.0,666.0,0.0,280.0,1,21.004654911264133
181,181,0.9563166363811639,1.0,0,282.0,585.0,0.0,333.0,1,6.55250454282541
182,182,0.726879578951309,0.7,0,454.0,580.0,0.0,1596.0,1,40.96806315730366
183,183,-0.08823565770920627,-0.1,1,265.0,514.0,1.0,1021.0,1,163.23534865638095
184,184,0.9741827634246119,1.0,0,298.0,544.0,0.0,128.0,1,3.872585486308222
185,185,-0.9940943624414236,-1.0,1,333.0,573.0,1.0,154.0,1,299.11415436621354
186,186,0.6113988512806023,0.6,0,257.0,644.0,0.0,559.0,1,58.29017230790965
187,187,0.30636479132248384,0.3,0,415.0,579.0,0.0,186.0,1,104.04528130162743
188,188,-0.09581454255601707,-0.1,1,315.0,839.0,0.0,1886.0,0,164.37218138340256
189,189,-0.703453824390595,-0.7,1,462.0,927.0,1.0,401.0,1,255.51807365858926
190,190,0.2187585995882193,0.2,0,263.0,981.0,0.0,2526.0,1,117.1862100617671
191,191,-0.8771219168346716,-0.9,1,275.0,883.0,1.0,162.0,1,281.56828752520073
192,192,0.19431481860307187,0.2,0,298.0,791.0,0.0,1331.0,1,120.85277720953923
193,193,0.49127537472207483,0.5,0,352.0,910.0,1.0,508.0,0,76.30869379168878
194,194,-0.2777608935196907,-0.3,1,281.0,579.0,1.0,620.0,1,191.6641340279536
195,195,0.7152598760112967,0.7,0,491.0,802.0,0.0,667.0,1,42.71101859830549
196,196,-0.6805665257269398,-0.7,1,305.0,553.0,1.0,182.0,1,252.08497885904097
197,197,0.7260015887285176,0.7,0,373.0,881.0,0.0,366.0,1,41.09976169072236
198,198,0.7994676792042525,0.8,0,429.0,798.0,0.0,493.0,1,30.07984811936212
199,199,0.9042706966827443,0.9,0,359.0,506.0,0.0,385.0,1,14.359395497588356
200,200,-0.13053511850364696,-0.1,1,430.0,958.0,1.0,392.0,1,169.58026777554704
201,201,0.960048242536558,1.0,0,395.0,926.0,0.0,309.0,1,5.992763619516306
202,202,0.12007435835089941,0.1,0,288.0,844.0,0.0,578.0,1,131.98884624736507
203,203,-0.48447619057232916,-0.5,1,338.0,612.0,1.0,210.0,1,222.67142858584938
204,204,0.06720492097669717,0.1,0,402.0,599.0,0.0,359.0,1,139.9192618534954
205,205,-0.9849771013247224,-1.0,1,311.0,801.0,1.0,738.0,1,297.74656519870837
206,206,-0.33567860273220496,-0.3,1,479.0,534.0,1.0,237.0,1,200.35179040983076
207,207,0.45508391138332005,0.5,0,295.0,679.0,1.0,586.0,0,81.737413292502
208,208,-0.959096923608582,-1.0,1,426.0,848.0,1.0,766.0,1,293.8645385412873
209,209,0.22309604000599492,0.2,0,382.0,779.0,1.0,409.0,0,116.53559399910077
210,210,0.7742340440735729,0.8,0,413.0,762.0,0.0,205.0,1,33.86489338896407
211,211,-0.3208759635749481,-0.3,1,406.0,943.0,1.0,1131.0,1,198.1313945362422
212,212,-0.1137632298583755,-0.1,1,254.0,668.0,1.0,648.0,1,167.06448447875633
213,213,0.593472818517143,0.6,0,478.0,531.0,0.0,801.0,1,60.97907722242856
214,214,-0.4317355727716472,-0.4,1,390.0,869.0,1.0,481.0,1,214.76033591574708
215,215,-0.8035948812386047,-0.8,1,339.0,620.0,1.0,131.0,1,270.5392321857907
216,216,-0.18132857207879383,-0.2,1,488.0,742.0,1.0,580.0,1,177.19928581181907
217,217,0.46018591961812394,0.5,0,393.0,881.0,1.0,2066.0,0,80.97211205728141
218,218,-0.3410921961264268,-0.3,1,370.0,762.0,1.0,368.0,1,201.163829418964
219,219,0.4703970483708333,0.5,0,488.0,580.0,0.0,342.0,1,79.440442744375
220,220,-0.1210452141037055,-0.1,1,400.0,835.0,1.0,295.0,1,168.1567821155558
221,221,0.6217188239084521,0.6,0,302.0,932.0,0.0,266.0,1,56.74217641373218
222,222,0.793115603543751,0.8,0,412.0,835.0,0.0,703.0,1,31.032659468437352
223,223,-0.7877008239309278,-0.8,1,480.0,903.0,1.0,297.0,1,268.1551235896392
224,224,-0.06070920396842139,-0.1,1,428.0,602.0,1.0,920.0,1,159.1063805952632
225,225,-0.5952174835027111,-0.6,1,420.0,767.0,1.0,153.0,1,239.28262252540665
226,226,-0.9139590686877268,-0.9,1,415.0,969.0,1.0,116.0,1,287.09386030315903
227,227,0.913303441608206,0.9,0,493.0,626.0,0.0,611.0,1,13.004483758769103
228,228,-0.08402679630099397,-0.1,1,383.0,678.0,1.0,479.0,1,162.6040194451491
229,229,0.5359637381695188,0.5,0,426.0,511.0,1.0,523.0,0,69.60543927457218
230,230,0.31007985317873854,0.3,0,313.0,983.0,1.0,414.0,0,103.48802202318922
231,231,-0.021316148638017562,-0.0,1,384.0,514.0,1.0,1442.0,1,153.19742229570264
232,232,-0.004881141495896024,-0.0,1,446.0,890.0,1.0,134.0,1,150.73217122438442
233,233,0.7081422903098686,0.7,0,263.0,923.0,0.0,234.0,1,43.7786564535197
234,234,0.7755016028592367,0.8,0,493.0,908.0,0.0,799.0,1,33.674759571114485
235,235,0.3085697674457921,0.3,0,279.0,875.0,0.0,1566.0,1,103.71453488313118
236,236,0.006463145349416388,0.0,0,366.0,656.0,1.0,188.0,0,149.03052819758753
237,237,0.2595363580403047,0.3,0,306.0,890.0,0.0,1484.0,1,111.06954629395429
238,238,0.378762347129562,0.4,0,462.0,544.0,0.0,1044.0,1,93.1856479305657
239,239,-0.1797863171998868,-0.2,1,364.0,551.0,1.0,225.0,1,176.96794757998302
240,240,-0.2376032024840007,-0.2,1,491.0,942.0,1.0,617.0,1,185.6404803726001
241,241,0.6862676103229524,0.7,0,367.0,791.0,0.0,202.0,1,47.05985845155715
242,242,-0.6607254630355273,-0.7,1,412.0,789.0,1.0,1149.0,1,249.1088194553291
243,243,-0.6814747957804226,-0.7,1,354.0,759.0,1.0,107.0,1,252.22121936706338
244,244,-0.140830588200606,-0.1,1,284.0,577.0,0.0,929.0,0,171.1245882300909
245,245,0.36353329890436714,0.4,0,376.0,850.0,0.0,1044.0,1,95.47000516434493
246,246,0.7898542596897513,0.8,0,481.0,637.0,0.0,542.0,1,31.521861046537303
247,247,0.8471509574070717,0.8,0,270.0,719.0,0.0,1661.0,1,22.927356388939245
248,248,-0.7790675436066845,-0.8,1,464.0,784.0,1.0,172.0,1,266.86013154100266
249,249,0.38224033985688033,0.4,0,329.0,633.0,0.0,758.0,1,92.66394902146796
250,250,-0.9571566732988865,-1.0,1,450.0,944.0,1.0,156.0,1,293.57350099483295
251,251,0.3937605602409291,0.4,0,346.0,754.0,0.0,380.0,1,90.93591596386064
252,252,-0.14651700875151397,-0.1,1,341.0,573.0,0.0,296.0,0,171.9775513127271
253,253,-0.9828829155751955,-1.0,1,410.0,512.0,1.0,278.0,1,297.4324373362793
254,254,0.30360281578860904,0.3,0,271.0,588.0,0.0,1481.0,1,104.45957763170864
255,255,0.43428974762339667,0.4,0,270.0,733.0,1.0,617.0,0,84.8565378564905
256,256,0.5107065076983226,0.5,0,423.0,967.0,1.0,230.0,0,73.39402384525161
257,257,0.4984489031616559,0.5,0,457.0,845.0,0.0,398.0,1,75.23266452575162
258,258,-0.2741191034849335,-0.3,1,385.0,796.0,1.0,1439.0,1,191.11786552274003
259,259,0.28537942202157196,0.3,0,405.0,983.0,0.0,3612.0,1,107.19308669676421
260,260,0.6063110966741763,0.6,0,430.0,560.0,0.0,470.0,1,59.05333549887356
261,261,0.12765891669941665,0.1,0,435.0,606.0,0.0,1539.0,1,130.8511624950875
262,262,0.7705496789223947,0.8,0,369.0,762.0,0.0,539.0,1,34.417548161640795
263,263,0.8584598030700119,0.9,0,342.0,857.0,0.0,211.0,1,21.231029539498213
264,264,-0.6641845353268891,-0.7,1,328.0,514.0,1.0,358.0,1,249.6276802990334
265,265,0.9035025897782305,0.9,0,365.0,692.0,0.0,893.0,1,14.474611533265424
266,266,-0.986028257945226,-1.0,1,394.0,532.0,1.0,424.0,1,297.9042386917839
267,267,-0.09177393146409396,-0.1,1,477.0,546.0,1.0,507.0,1,163.7660897196141
268,268,-0.36796497860896404,-0.4,1,272.0,804.0,1.0,444.0,1,205.1947467913446
269,269,0.23356298943137443,0.2,0,369.0,939.0,0.0,522.0,1,114.96555158529384
270,270,0.41382918263244806,0.4,0,493.0,688.0,0.0,1529.0,1,87.92562260513279
271,271,-0.6812850734764249,-0.7,1,365.0,594.0,1.0,191.0,1,252.19276102146372
272,272,-0.7216971796736666,-0.7,1,475.0,699.0,1.0,126.0,1,258.25457695105
273,273,-0.08354745475077352,-0.1,1,321.0,534.0,0.0,2285.0,0,162.53211821261604
